id,snippet,expected,predicted,correct,raw_output,error,latency_ms,provider,model
1,"I really appreciated the call, thank you so much for following up.",positive,positive,True,"{""sentiment"":""positive""}",,3295,openai,gpt-5-mini
2,"This sounds great, please send me the details.",positive,positive,True,"{""sentiment"":""positive""}",,2495,openai,gpt-5-mini
3,"Yes, I'd love to schedule a meeting next week.",positive,positive,True,"{""sentiment"":""positive""}",,2512,openai,gpt-5-mini
4,"I've been looking for something like this, perfect timing.",positive,positive,True,"{""sentiment"":""positive""}",,2672,openai,gpt-5-mini
5,"That's exactly what I needed to hear, thanks.",positive,positive,True,"{""sentiment"":""positive""}",,2537,openai,gpt-5-mini
6,"Wonderful, count me in.",positive,positive,True,"{""sentiment"":""positive""}",,2682,openai,gpt-5-mini
7,"I'm definitely interested, let's move forward.",positive,positive,True,"{""sentiment"":""positive""}",,2657,openai,gpt-5-mini
8,Thanks for explaining everything so clearly.,positive,positive,True,"{""sentiment"":""positive""}",,2511,openai,gpt-5-mini
9,"Yes, please go ahead and book me in.",positive,positive,True,"{""sentiment"":""positive""}",,2662,openai,gpt-5-mini
10,"This is fantastic news, I appreciate it.",positive,positive,True,"{""sentiment"":""positive""}",,2535,openai,gpt-5-mini
11,I'm really happy with this offer.,positive,positive,True,"{""sentiment"":""positive""}",,1655,openai,gpt-5-mini
12,That works perfectly for me.,positive,positive,True,"{""sentiment"":""positive""}",,1356,openai,gpt-5-mini
13,"Excellent, I look forward to hearing more.",positive,positive,True,"{""sentiment"":""positive""}",,1149,openai,gpt-5-mini
14,"Yes, you can put me down for that.",positive,positive,True,"{""sentiment"":""positive""}",,1150,openai,gpt-5-mini
15,"I love that idea, let's do it.",negative,positive,False,"{""sentiment"":""positive""}",,1753,openai,gpt-5-mini
16,That sounds like a great deal honestly.,positive,positive,True,"{""sentiment"":""positive""}",,1288,openai,gpt-5-mini
17,"I'm sold, let me know the next steps.",positive,positive,True,"{""sentiment"":""positive""}",,1172,openai,gpt-5-mini
18,"Perfect, I'll see you Tuesday then.",positive,positive,True,"{""sentiment"":""positive""}",,1131,openai,gpt-5-mini
19,"Great, I'm glad we connected today.",positive,positive,True,"{""sentiment"":""positive""}",,1160,openai,gpt-5-mini
20,"I'm impressed, this is well thought through.",positive,positive,True,"{""sentiment"":""positive""}",,1708,openai,gpt-5-mini
21,"Yes, sign me up please.",positive,positive,True,"{""sentiment"":""positive""}",,1269,openai,gpt-5-mini
22,"Thank you, I'll definitely consider this seriously.",positive,positive,True,"{""sentiment"":""positive""}",,1113,openai,gpt-5-mini
23,I'd be very interested in learning more about pricing.,positive,positive,True,"{""sentiment"":""positive""}",,1665,openai,gpt-5-mini
24,"Brilliant, I appreciate you reaching out.",positive,positive,True,"{""sentiment"":""positive""}",,1219,openai,gpt-5-mini
25,"Yes, this is exactly what we've been needing.",positive,positive,True,"{""sentiment"":""positive""}",,1227,openai,gpt-5-mini
26,I'm happy to discuss this further.,positive,positive,True,"{""sentiment"":""positive""}",,1232,openai,gpt-5-mini
27,"Sounds wonderful, please email me the contract.",positive,positive,True,"{""sentiment"":""positive""}",,1197,openai,gpt-5-mini
28,"Yes please, I'd like to proceed.",positive,positive,True,"{""sentiment"":""positive""}",,1140,openai,gpt-5-mini
29,"Glad you called, this looks promising.",positive,positive,True,"{""sentiment"":""positive""}",,1147,openai,gpt-5-mini
30,I'm on board with this approach.,positive,positive,True,"{""sentiment"":""positive""}",,1216,openai,gpt-5-mini
31,"Excellent presentation, very clear.",positive,positive,True,"{""sentiment"":""positive""}",,1306,openai,gpt-5-mini
32,"Yes, let's set up a demo.",positive,positive,True,"{""sentiment"":""positive""}",,1202,openai,gpt-5-mini
33,I think this will work well for us.,positive,positive,True,"{""sentiment"":""positive""}",,1158,openai,gpt-5-mini
34,"Thanks, I'm definitely leaning yes.",positive,positive,True,"{""sentiment"":""positive""}",,1226,openai,gpt-5-mini
35,"Wonderful, I'll get back to you by Friday.",positive,positive,True,"{""sentiment"":""positive""}",,1580,openai,gpt-5-mini
36,"Yes please, I’d like to proceed.",positive,positive,True,"{""sentiment"":""positive""}",,1258,openai,gpt-5-mini
37,I really like what you're offering.,positive,positive,True,"{""sentiment"":""positive""}",,1269,openai,gpt-5-mini
38,"Great, let me know the timing.",positive,neutral,False,"{""sentiment"":""neutral""}",,1274,openai,gpt-5-mini
39,"This is helpful, thank you for your time.",positive,positive,True,"{""sentiment"":""positive""}",,1505,openai,gpt-5-mini
40,I'm happy to commit to a pilot.,positive,positive,True,"{""sentiment"":""positive""}",,2101,openai,gpt-5-mini
41,"Yes, please schedule the next call.",positive,positive,True,"{""sentiment"":""positive""}",,1207,openai,gpt-5-mini
