id,snippet,expected,predicted,correct,raw_output,error,latency_ms,provider,model
1,"I really appreciated the call, thank you so much for following up.",positive,positive,True,"{""sentiment"":""positive""}",,1865,openai,gpt-5-mini
2,"This sounds great, please send me the details.",positive,positive,True,"{""sentiment"":""positive""}",,1421,openai,gpt-5-mini
3,"Yes, I'd love to schedule a meeting next week.",positive,positive,True,"{""sentiment"":""positive""}",,1351,openai,gpt-5-mini
4,"I've been looking for something like this, perfect timing.",positive,positive,True,"{""sentiment"":""positive""}",,1337,openai,gpt-5-mini
5,"That's exactly what I needed to hear, thanks.",positive,positive,True,"{""sentiment"":""positive""}",,1339,openai,gpt-5-mini
6,"Wonderful, count me in.",positive,positive,True,"{""sentiment"":""positive""}",,1340,openai,gpt-5-mini
7,"I'm definitely interested, let's move forward.",positive,positive,True,"{""sentiment"":""positive""}",,1736,openai,gpt-5-mini
8,Thanks for explaining everything so clearly.,positive,positive,True,"{""sentiment"":""positive""}",,1515,openai,gpt-5-mini
9,"Yes, please go ahead and book me in.",positive,positive,True,"{""sentiment"":""positive""}",,1396,openai,gpt-5-mini
10,"This is fantastic news, I appreciate it.",positive,positive,True,"{""sentiment"":""positive""}",,1336,openai,gpt-5-mini
11,I'm really happy with this offer.,positive,positive,True,"{""sentiment"":""positive""}",,1209,openai,gpt-5-mini
12,That works perfectly for me.,positive,positive,True,"{""sentiment"":""positive""}",,1018,openai,gpt-5-mini
13,"Excellent, I look forward to hearing more.",positive,positive,True,"{""sentiment"":""positive""}",,1045,openai,gpt-5-mini
14,"Yes, you can put me down for that.",positive,positive,True,"{""sentiment"":""positive""}",,1018,openai,gpt-5-mini
15,"I love that idea, let's do it.",negative,positive,False,"{""sentiment"":""positive""}",,1109,openai,gpt-5-mini
16,That sounds like a great deal honestly.,positive,positive,True,"{""sentiment"":""positive""}",,1144,openai,gpt-5-mini
17,"I'm sold, let me know the next steps.",positive,positive,True,"{""sentiment"":""positive""}",,981,openai,gpt-5-mini
18,"Perfect, I'll see you Tuesday then.",positive,positive,True,"{""sentiment"":""positive""}",,1150,openai,gpt-5-mini
19,"Great, I'm glad we connected today.",positive,positive,True,"{""sentiment"":""positive""}",,1165,openai,gpt-5-mini
20,"I'm impressed, this is well thought through.",positive,positive,True,"{""sentiment"":""positive""}",,963,openai,gpt-5-mini
21,"Yes, sign me up please.",positive,positive,True,"{""sentiment"":""positive""}",,1512,openai,gpt-5-mini
