id,snippet,expected,predicted,correct,raw_output,error,latency_ms,provider,model
1,"I really appreciated the call, thank you so much for following up.",positive,positive,True,positive,,6514,openrouter:deepseek-nex,nex-agi/deepseek-v3.1-nex-n1
2,"This sounds great, please send me the details.",positive,positive,True,positive,,4918,openrouter:deepseek-nex,nex-agi/deepseek-v3.1-nex-n1
3,"Yes, I'd love to schedule a meeting next week.",positive,positive,True,positive,,4434,openrouter:deepseek-nex,nex-agi/deepseek-v3.1-nex-n1
4,"I've been looking for something like this, perfect timing.",positive,positive,True,positive,,4888,openrouter:deepseek-nex,nex-agi/deepseek-v3.1-nex-n1
5,"That's exactly what I needed to hear, thanks.",positive,positive,True,positive,,5306,openrouter:deepseek-nex,nex-agi/deepseek-v3.1-nex-n1
6,"Wonderful, count me in.",positive,positive,True,positive,,4460,openrouter:deepseek-nex,nex-agi/deepseek-v3.1-nex-n1
7,"I'm definitely interested, let's move forward.",positive,positive,True,positive,,4665,openrouter:deepseek-nex,nex-agi/deepseek-v3.1-nex-n1
8,Thanks for explaining everything so clearly.,positive,positive,True,positive,,4837,openrouter:deepseek-nex,nex-agi/deepseek-v3.1-nex-n1
9,"Yes, please go ahead and book me in.",positive,positive,True,positive,,5157,openrouter:deepseek-nex,nex-agi/deepseek-v3.1-nex-n1
10,"This is fantastic news, I appreciate it.",positive,positive,True,positive,,4857,openrouter:deepseek-nex,nex-agi/deepseek-v3.1-nex-n1
11,I'm really happy with this offer.,positive,positive,True,positive,,4530,openrouter:deepseek-nex,nex-agi/deepseek-v3.1-nex-n1
12,That works perfectly for me.,positive,positive,True,positive,,5202,openrouter:deepseek-nex,nex-agi/deepseek-v3.1-nex-n1
13,"Excellent, I look forward to hearing more.",positive,positive,True,positive,,3579,openrouter:deepseek-nex,nex-agi/deepseek-v3.1-nex-n1
14,"Yes, you can put me down for that.",positive,positive,True,positive,,5315,openrouter:deepseek-nex,nex-agi/deepseek-v3.1-nex-n1
15,"I love that idea, let's do it.",negative,positive,False,positive,,5051,openrouter:deepseek-nex,nex-agi/deepseek-v3.1-nex-n1
16,That sounds like a great deal honestly.,positive,positive,True,positive,,3833,openrouter:deepseek-nex,nex-agi/deepseek-v3.1-nex-n1
17,"I'm sold, let me know the next steps.",positive,positive,True,positive,,3450,openrouter:deepseek-nex,nex-agi/deepseek-v3.1-nex-n1
18,"Perfect, I'll see you Tuesday then.",positive,positive,True,positive,,4485,openrouter:deepseek-nex,nex-agi/deepseek-v3.1-nex-n1
19,"Great, I'm glad we connected today.",positive,positive,True,positive,,4062,openrouter:deepseek-nex,nex-agi/deepseek-v3.1-nex-n1
20,"I'm impressed, this is well thought through.",positive,positive,True,positive,,3389,openrouter:deepseek-nex,nex-agi/deepseek-v3.1-nex-n1
21,"Yes, sign me up please.",positive,positive,True,positive,,4167,openrouter:deepseek-nex,nex-agi/deepseek-v3.1-nex-n1
22,"Thank you, I'll definitely consider this seriously.",positive,neutral,False,neutral,,3706,openrouter:deepseek-nex,nex-agi/deepseek-v3.1-nex-n1
23,I'd be very interested in learning more about pricing.,positive,neutral,False,neutral,,4401,openrouter:deepseek-nex,nex-agi/deepseek-v3.1-nex-n1
24,"Brilliant, I appreciate you reaching out.",positive,positive,True,positive,,3870,openrouter:deepseek-nex,nex-agi/deepseek-v3.1-nex-n1
25,"Yes, this is exactly what we've been needing.",positive,positive,True,positive,,4116,openrouter:deepseek-nex,nex-agi/deepseek-v3.1-nex-n1
26,I'm happy to discuss this further.,positive,positive,True,positive,,3949,openrouter:deepseek-nex,nex-agi/deepseek-v3.1-nex-n1
27,"Sounds wonderful, please email me the contract.",positive,positive,True,positive,,4828,openrouter:deepseek-nex,nex-agi/deepseek-v3.1-nex-n1
28,"Yes please, I'd like to proceed.",positive,positive,True,positive,,4150,openrouter:deepseek-nex,nex-agi/deepseek-v3.1-nex-n1
29,"Glad you called, this looks promising.",positive,positive,True,positive,,4217,openrouter:deepseek-nex,nex-agi/deepseek-v3.1-nex-n1
30,I'm on board with this approach.,positive,positive,True,positive,,3993,openrouter:deepseek-nex,nex-agi/deepseek-v3.1-nex-n1
31,"Excellent presentation, very clear.",positive,positive,True,positive,,4164,openrouter:deepseek-nex,nex-agi/deepseek-v3.1-nex-n1
32,"Yes, let's set up a demo.",positive,positive,True,positive,,3744,openrouter:deepseek-nex,nex-agi/deepseek-v3.1-nex-n1
33,I think this will work well for us.,positive,positive,True,positive,,3806,openrouter:deepseek-nex,nex-agi/deepseek-v3.1-nex-n1
34,"Thanks, I'm definitely leaning yes.",positive,positive,True,positive,,3911,openrouter:deepseek-nex,nex-agi/deepseek-v3.1-nex-n1
35,"Wonderful, I'll get back to you by Friday.",positive,positive,True,positive,,3817,openrouter:deepseek-nex,nex-agi/deepseek-v3.1-nex-n1
36,"Yes please, I’d like to proceed.",positive,positive,True,positive,,3789,openrouter:deepseek-nex,nex-agi/deepseek-v3.1-nex-n1
37,I really like what you're offering.,positive,positive,True,positive,,4521,openrouter:deepseek-nex,nex-agi/deepseek-v3.1-nex-n1
38,"Great, let me know the timing.",positive,positive,True,positive,,3535,openrouter:deepseek-nex,nex-agi/deepseek-v3.1-nex-n1
39,"This is helpful, thank you for your time.",positive,positive,True,positive,,4273,openrouter:deepseek-nex,nex-agi/deepseek-v3.1-nex-n1
40,I'm happy to commit to a pilot.,positive,positive,True,positive,,4051,openrouter:deepseek-nex,nex-agi/deepseek-v3.1-nex-n1
41,"Yes, please schedule the next call.",positive,positive,True,positive,,4378,openrouter:deepseek-nex,nex-agi/deepseek-v3.1-nex-n1
42,"That's a fair offer, I'll take it.",positive,positive,True,positive,,4609,openrouter:deepseek-nex,nex-agi/deepseek-v3.1-nex-n1
43,I appreciate the thorough explanation.,positive,positive,True,positive,,4253,openrouter:deepseek-nex,nex-agi/deepseek-v3.1-nex-n1
44,"Yes, I'd like to move forward today.",positive,positive,True,positive,,3744,openrouter:deepseek-nex,nex-agi/deepseek-v3.1-nex-n1
45,"Glad we could chat, very useful.",positive,positive,True,positive,,3294,openrouter:deepseek-nex,nex-agi/deepseek-v3.1-nex-n1
46,"Perfect, that timing works.",positive,positive,True,positive,,3868,openrouter:deepseek-nex,nex-agi/deepseek-v3.1-nex-n1
47,I'd be very interested in learning more about pricing,neutral,neutral,True,neutral,,4295,openrouter:deepseek-nex,nex-agi/deepseek-v3.1-nex-n1
48,Looking forward to working together.,positive,positive,True,positive,,3476,openrouter:deepseek-nex,nex-agi/deepseek-v3.1-nex-n1
